6,7,8,9,10,6,7,8,9,10,6,7,19,20,10,6,7,8,9,10,6,7,8,9,10,6,7,8,9,10,6,7,8,9,10,6,7,8,9,10,6,7,19,20,10,6,7,8,9,10,6,7,8,9,10,6,7,19,20,10,6,7,8,9,10,6,7,8
6,7,8,9,10,6,7,8,9,10,6,7,19,20,10,6,7,8,9,10,6,7,8,9,10,6,7,8,9,10,17,18,19,20,21,17,18,19,20,21,17,18,30,31,21,17,18,19,20,21,17,18,19,20,21,17,18,30,31,21,17,18,19,20,21,17,18,19
17,18,19,20,21,17,18,19,20,21,17,18,30,31,21,17,18,19,20,21,17,18,19,20,21,17,18,19,20,21,28,29,30,31,32,28,29,30,31,32,28,29,41,42,32,28,29,30,31,32,28,29,30,31,32,28,29,41,42,32,28,29,30,31,32,28,29,30
28,29,30,31,32,28,29,30,31,32,28,29,41,42,32,28,29,30,31,32,28,29,30,31,32,28,29,30,31,32,39,40,41,42,43,39,40,41,42,43,39,40,52,53,43,39,40,41,42,43,39,40,41,42,43,39,40,52,53,43,39,40,41,42,43,39,40,41
39,40,41,42,43,39,40,41,42,43,39,40,52,53,43,39,40,41,42,43,39,40,41,42,43,39,40,41,42,43,50,51,52,53,54,50,51,52,53,54,50,51,63,64,54,50,51,52,53,54,50,51,52,53,54,50,51,63,64,54,50,51,52,53,54,50,51,52
50,51,52,53,54,50,51,52,53,54,50,51,63,64,54,50,51,52,53,54,50,51,52,53,54,50,51,52,53,54,61,62,63,64,65,61,62,63,64,65,61,62,74,75,65,61,62,63,64,65,61,62,63,64,65,61,62,74,75,65,61,62,63,64,65,61,62,63
61,62,63,64,65,61,62,63,64,65,61,62,74,75,65,61,62,63,64,65,61,62,63,64,65,61,62,63,64,65,72,73,74,75,76,72,73,74,75,76,72,73,8,9,76,72,73,74,75,76,72,73,74,75,76,72,73,8,9,76,72,73,74,75,76,72,73,74
72,73,74,75,76,72,73,74,75,76,72,73,8,9,76,72,73,74,75,76,72,73,74,75,76,72,73,74,75,76,83,84,85,86,87,6,7,8,9,10,83,84,19,20,87,83,84,85,86,87,6,7,8,9,10,83,84,19,20,87,83,84,85,86,87,6,7,8
83,84,85,86,87,6,7,8,9,10,83,84,19,20,87,83,84,85,86,87,6,7,8,9,87,83,84,85,86,87,50,51,52,53,54,17,18,19,20,21,50,51,30,31,54,50,51,52,53,54,17,18,19,20,21,50,51,30,31,54,50,51,52,53,54,17,18,19
50,51,52,53,54,17,18,19,20,21,50,51,30,31,54,50,51,52,53,54,17,18,19,20,54,50,51,52,53,54,61,62,63,64,65,28,29,30,31,32,61,62,41,42,65,61,62,63,64,65,28,29,30,31,32,61,62,41,42,65,61,62,63,64,65,28,29,30
61,62,63,64,65,28,29,30,31,32,61,62,41,42,65,61,62,63,64,65,28,29,30,31,65,61,62,63,64,65,72,73,74,75,76,39,40,41,42,43,72,73,52,53,76,72,73,74,75,76,39,40,41,42,43,72,73,52,53,76,72,73,74,75,76,39,40,41
72,73,74,75,76,39,40,41,42,43,72,73,52,53,76,72,73,74,75,76,39,40,41,42,76,72,73,74,75,76,83,84,85,86,87,50,51,52,53,54,83,84,63,64,87,83,84,85,86,87,50,51,52,53,54,83,84,63,64,87,83,84,85,86,87,50,51,52
83,84,85,86,87,50,51,52,53,54,83,84,63,64,87,83,84,85,86,87,50,51,52,53,87,83,84,85,86,87,6,7,8,9,10,61,62,63,64,65,6,7,74,75,10,6,7,8,9,10,61,62,63,64,65,6,7,74,75,10,6,7,8,9,10,61,62,63
6,7,8,9,10,61,62,63,64,65,6,7,74,75,10,6,7,8,9,10,61,62,63,64,10,6,7,8,9,10,83,84,85,86,87,83,84,85,86,87,6,7,8,9,10,83,84,85,86,87,83,84,85,86,87,6,7,8,9,10,83,84,85,86,87,83,84,85
83,84,85,86,87,83,84,85,86,87,6,7,8,9,10,83,84,85,86,87,83,84,85,86,10,6,7,8,9,10,50,51,52,53,54,50,51,52,53,54,17,18,19,20,21,50,51,52,53,54,50,51,52,53,54,17,18,19,20,21,50,51,52,53,54,50,51,52
50,51,52,53,54,50,51,52,53,54,17,18,19,20,21,50,51,52,53,54,50,51,52,53,21,17,18,19,20,21,61,62,63,64,65,61,62,63,64,65,28,29,30,31,32,61,62,63,64,65,61,62,63,64,65,28,29,30,31,32,61,62,63,64,65,61,62,63
